,Latitude,Longitude,School Name,School Address,School Rating
117,30.106782,-97.728461,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3
118,30.427832,-97.892225,Grandview Hills Elementary School,"12024 Vista Parke Drive, Austin, TX  78726",6
119,30.465385,-97.571644,Riojas Elementary School,"3400 Crispin Hall Lane, Pflugerville, TX  78660",7
120,30.176059,-97.839972,Kocurek Elementary School,"9800 Curlew Drive, Austin, TX  78748",4
121,30.336266,-97.562819,Lagos Elementary School,les.manorisd.net,
122,30.539524,-97.718911,Cactus Ranch Elementary School,"2901 Goldenoak Circle, Round Rock, TX  78681",10
123,30.32148,-97.786464,Highland Park Elementary School,"4900 Fairview Drive, Austin, TX  78731",9
124,30.392492,-97.80279,Laurel Mountain Elementary School,"10111 D-K Ranch Road, Austin, TX  78759",10
125,30.417733,-97.665326,Ruth Barron Elementary School,"14850 Harris Ridge Boulevard, Pflugerville, TX  78660",6
126,30.236451,-97.952955,Baldwin Elementary School,"12200 Meridian Park Boulevard, Austin, TX  78739",8
127,30.458595,-97.570808,Riojas Elementary School,"3400 Crispin Hall Lane, Pflugerville, TX  78660",7
128,30.375583,-97.69379,Mcbee Elementary School,"1101 West Braker Lane, Austin, TX  78758",7
129,30.25122,-97.556973,Oak Meadows Elementary School,"5600 Decker Creek Cove, Manor, TX  78653",2
130,30.530979,-97.700458,Old Town Elementary School,"2200 Chaparral Drive, Round Rock, TX  78681",7
131,30.387624,-97.689416,Mcbee Elementary School,"1101 West Braker Lane, Austin, TX  78758",7
132,30.389935,-97.685762,Mcbee Elementary School,"1101 West Braker Lane, Austin, TX  78758",7
133,30.347444,-97.99083,Bee Cave Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",8
134,30.328033,-97.695152,Pickle Elementary School,"1101 Wheatley Avenue, Austin, TX  78752",2
135,30.314663,-97.69848,Harris Elementary School,"1711 Wheless Lane, Austin, TX  78723",4
136,30.119864,-97.818382,Menchaca Elementary School,"12120 Manchaca Rd, Austin, TX 78748",5
137,30.461658,-97.576933,Riojas Elementary School,"3400 Crispin Hall Lane, Pflugerville, TX  78660",7
138,30.474712,-97.575426,Riojas Elementary School,"3400 Crispin Hall Lane, Pflugerville, TX  78660",7
139,30.336404,-97.764175,Highland Park Elementary School,"4900 Fairview Drive, Austin, TX  78731",9
140,30.346496,-97.727407,Brentwood Elementary School,"6700 Arroyo Seco, Austin, TX  78757",7
141,30.458828,-97.958742,Lago Vista Intermediate School,"8039 Bar K Ranch Rd, Lago Vista, TX 78645",
142,30.244141,-97.944024,Clayton Elementary School,"7525 La Crosse Avenue, Austin, TX  78739",10
143,30.264616,-97.865864,Oak Hill Elementary School,"6101 Patton Ranch Road, Austin, TX  78735",6
144,30.312933,-97.531317,Blake Manor Elementary School,"18010 Blake Manor Road, Manor, TX  78653",4
145,30.063737,-97.560917,Cedar Creek Elementary School,"5582 Farm to Market Road 535, Cedar Creek, TX  78612",6
146,30.274126,-97.475191,Blake Manor Elementary School,"18010 Blake Manor Road, Manor, TX  78653",4
147,30.216766,-97.899739,Mills Elementary School,"6201 Davis Lane, Austin, TX  78749",9
148,30.172783,-97.688677,Smith Elementary School,"4209 Smith School Road, Austin, TX  78744",5
149,30.302138,-97.499837,Blake Manor Elementary School,"18010 Blake Manor Road, Manor, TX  78653",4
150,30.125542,-97.738536,Blazier Elementary School,"8601 Nuckols Crossing Road, Austin, TX  78744",7
151,30.368758,-97.697767,Guerrero Thompson,"102 E Rundberg Ln, Austin, TX 78753",7
152,30.108621,-97.641103,Popham Elementary School,"7014 Elroy Road, Austin, TX  78617",3
153,30.232882,-97.698788,Allison Elementary School,"515 Vargas Road, Austin, TX  78741",7
