Unnamed: 0,Latitude,Longitude,School Name,School Address,School Rating,zipcode
3256,30.212373,-97.88025400000001,Gorzycki Middle School,"7412 West Slaughter Lane, Austin, TX  78749",9.0,78749
3257,30.459959,-97.65789699999999,Pflugerville Middle School,"1600 Settlers Valley Drive, Pflugerville, TX  78660",6.0,78660
3258,30.529685999999998,-97.874815,Running Brushy Middle School,"2303 Lakeline Boulevard, Cedar Park, TX  78613",6.0,78641
3260,30.217005,-97.803051,Richards School For Young Women Leade,"2206 Prather Lane, Austin, TX  78704",9.0,78745
3262,30.461884,-97.824262,Noel Grisham Middle School,"10805 School House Lane, Austin, TX  78750",7.0,78613
3264,30.395146999999998,-97.662989,Dessau Middle School,"12900 Dessau Road, Austin, TX  78754",3.0,78753
3265,30.199734999999997,-97.914649,Gorzycki Middle School,"7412 West Slaughter Lane, Austin, TX  78749",9.0,78749
3266,30.53235,-97.617962,Ridgeview Middle School,"2000 Via Sonoma Trail, Round Rock, TX  78665",9.0,78664
3273,30.346806,-97.70100000000001,Webb Middle School,"601 East Saint Johns Avenue, Austin, TX  78752",2.0,78758
3274,30.167239000000002,-97.85910200000001,Bailey Middle School,"4020 Lost Oasis Hollow, Austin, TX  78739",6.0,78749
3275,30.407643,-97.693569,Westview Middle School,"1805 Scofield Lane, Austin, TX  78727",4.0,78753
3276,30.346089000000003,-97.86890799999999,Canyon Ridge Middle School,"12601 Country Trails Lane, Austin, TX  78732",10.0,78750
3278,30.161292,-97.819506,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4.0,78748
3279,30.535889,-97.753342,James Garland Walsh Middle School,"3850 Walsh Ranch Boulevard, Round Rock, TX  78681",10.0,78613
3282,30.2236,-97.941974,Gorzycki Middle School,"7412 West Slaughter Lane, Austin, TX  78749",9.0,78749
3284,30.174028000000003,-97.84232800000001,Bailey Middle School,"4020 Lost Oasis Hollow, Austin, TX  78739",6.0,78749
3285,30.456986999999998,-97.773256,Deerpark Middle School,"8849 Anderson Mill Road, Austin, TX  78729",6.0,78750
3286,30.430642,-97.83188100000001,Four Points Middle School,"9700 McNeil Drive, Austin, TX  78750",9.0,78750
3287,30.310476,-97.755354,Texas School For The Blind,"1100 West 45th Street, Austin, TX  78756",1.0,78756
3289,30.288831,-97.92819300000001,West Ridge Middle School,"9201 Scenic Bluff Drive, Austin, TX  78733",10.0,78738
3290,30.478462,-97.579408,Kelly Lane Middle School,"18900 Falcon Pointe Boulevard, Pflugerville, TX  78660",7.0,78660
3291,30.310740000000003,-97.771599,O Henry Middle School,"2610 West 10th Street, Austin, TX  78703",6.0,78756
3292,30.232390000000002,-97.895128,Gorzycki Middle School,"7412 West Slaughter Lane, Austin, TX  78749",9.0,78749
3295,30.123723,-97.82815500000001,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4.0,78748
3297,30.370186999999998,-97.792952,Murchison Middle School,"3700 North Hills Drive, Austin, TX  78731",7.0,78759
3298,30.522365,-97.72620400000001,James Garland Walsh Middle School,"3850 Walsh Ranch Boulevard, Round Rock, TX  78681",10.0,78681
3299,30.478007,-97.825848,Cedar Park Middle School,"2100 Sun Chase Boulevard, Cedar Park, TX  78613",9.0,78613
3301,30.499055,-97.631901,Ridgeview Middle School,"2000 Via Sonoma Trail, Round Rock, TX  78665",9.0,78664
3302,30.500674,-97.782104,Artie L Henry Middle School,"100 North Vista Ridge Boulevard, Cedar Park, TX  78613",8.0,78613
3303,30.312784000000004,-97.93262299999999,Hudson Bend Middle School,"3322 Ranch Road 620 South, Austin, TX  78738",9.0,78738
3305,30.225735999999998,-97.80541099999999,Richards School For Young Women Leade,"2206 Prather Lane, Austin, TX  78704",9.0,78745
3306,30.491654999999998,-97.849944,Cedar Park Middle School,"2100 Sun Chase Boulevard, Cedar Park, TX  78613",9.0,78613
3307,30.239221999999998,-97.734525,Martin Middle School,"1601 Haskell Street, Austin, TX  78702",1.0,78704
3310,30.292131,-97.774474,O Henry Middle School,"2610 West 10th Street, Austin, TX  78703",6.0,78703
3311,30.199789000000003,-97.814699,Covington Middle School,"3700 Convict Hill Road, Austin, TX  78749",5.0,78745
3314,30.49185,-97.89748,Running Brushy Middle School,"2303 Lakeline Boulevard, Cedar Park, TX  78613",6.0,78613
3315,30.239918,-97.882065,Gorzycki Middle School,"7412 West Slaughter Lane, Austin, TX  78749",9.0,78749
3316,30.160978000000004,-97.784132,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4.0,78748
3320,30.318382,-97.67049499999999,Sadler Means Ywla,(512) 414-3234,2.0,78724
3321,30.180251000000002,-97.890059,Bailey Middle School,"4020 Lost Oasis Hollow, Austin, TX  78739",6.0,78749
3324,30.235803999999998,-97.778705,Richards School For Young Women Leade,"2206 Prather Lane, Austin, TX  78704",9.0,78704
