,Latitude,Longitude,School Name,School Address,School Rating
107,30.116346,-97.67958,Del Valle Opportunity Center,"5301 Ross Rd, Del Valle, TX 78617",4
108,30.132658,-97.593266,Del Valle Opportunity Center,"5301 Ross Rd, Del Valle, TX 78617",4
109,30.325122,-97.528921,Manor Excel Academy,"600 E Parsons St, Manor, TX 78653",3
110,30.495069,-97.769043,Vista Ridge High School,"200 South Vista Ridge Boulevard, Cedar Park, TX  78613",8
111,30.29937,-97.640539,Lbj High School,"7309 Lazy Creek Drive, Austin, TX  78724",2
112,30.3375,-97.742008,Mccallum High School,"5600 Sunshine Drive, Austin, TX  78756",7
113,30.062951,-97.756852,Akins High School,"10701 South 1st Street, Austin, TX  78748",4
114,30.421674,-97.758291,Mcneil High School,"5720 McNeil Drive, Austin, TX  78729",7
115,30.079349,-97.751428,Akins High School,"10701 South 1st Street, Austin, TX  78748",4
116,30.236226,-97.760744,Leadership Academy,(512) 476-2809,
117,30.106782,-97.728461,Akins High School,"10701 South 1st Street, Austin, TX  78748",4
118,30.427832,-97.892225,Cedar Park High School,"2150 Cypress Creek Road, Cedar Park, TX  78613",8
119,30.465385,-97.571644,Hendrickson High School,"19201 Colorado Sand Drive, Pflugerville, TX  78660",7
120,30.176059,-97.839972,Bowie High School,"4103 West Slaughter Lane, Austin, TX  78749",9
121,30.336266,-97.562819,Manor New Technology High School,"10323 U.S. 290, Manor, TX  78653",7
122,30.539524,-97.718911,Round Rock High School,"201 Deep Wood Drive, Round Rock, TX  78681",8
123,30.32148,-97.786464,Rosedale,(512) 414-3617, 
124,30.392492,-97.80279,Vandegrift High School,"9500 McNeil Drive, Austin, TX  78750",8
125,30.417733,-97.665326,John B Connally High School,"13212 North Lamar Boulevard, Austin, TX  78753",4
126,30.236451,-97.952955,Lake Travis High School,"3324 Ranch Road 620 South, Austin, TX  78738",8
127,30.458595,-97.570808,Hendrickson High School,"19201 Colorado Sand Drive, Pflugerville, TX  78660",7
128,30.375583,-97.69379,Lanier High School,"1201 Payton Gin Road, Austin, TX  78758",3
129,30.25122,-97.556973,Travis County State Jail,www.wsdtx.org,
130,30.530979,-97.700458,Round Rock High School,"201 Deep Wood Drive, Round Rock, TX  78681",8
131,30.387624,-97.689416,Lanier High School,"1201 Payton Gin Road, Austin, TX  78758",3
132,30.389935,-97.685762,John B Connally High School,"13212 North Lamar Boulevard, Austin, TX  78753",4
133,30.347444,-97.99083,Lake Travis High School,"3324 Ranch Road 620 South, Austin, TX  78738",8
134,30.328033,-97.695152,Reagan High School,"7104 Berkman Drive, Austin, TX  78752",3
135,30.314663,-97.69848,Reagan High School,"7104 Berkman Drive, Austin, TX  78752",3
136,30.119864,-97.818382,Akins High School,"10701 South 1st Street, Austin, TX  78748",4
137,30.461658,-97.576933,Hendrickson High School,"19201 Colorado Sand Drive, Pflugerville, TX  78660",7
138,30.474712,-97.575426,Hendrickson High School,"19201 Colorado Sand Drive, Pflugerville, TX  78660",7
139,30.336404,-97.764175,Rosedale,(512) 414-3617, 
140,30.346496,-97.727407,Mccallum High School,"5600 Sunshine Drive, Austin, TX  78756",7
141,30.458828,-97.958742,Lago Vista High School,"5185 Lohman Ford Rd, Lago Vista, TX 78645",6
142,30.244141,-97.944024,Lake Travis High School,"3324 Ranch Road 620 South, Austin, TX  78738",8
143,30.264616,-97.865864,Westlake Alternative School,,
144,30.312933,-97.531317,Manor Excel Academy,"600 E Parsons St, Manor, TX 78653",3
145,30.063737,-97.560917,Cedar Creek High School,"793 Union Chapel Road, Cedar Creek, TX  78612",4
146,30.274126,-97.475191,Manor Excel Academy,"600 E Parsons St, Manor, TX 78653",3
147,30.216766,-97.899739,Bowie High School,"4103 West Slaughter Lane, Austin, TX  78749",9
