,Latitude,Longitude,School Name,School Address,School Rating
145,30.063737,-97.560917,Cedar Creek Intermediate School,"151 Voss Parkway, Cedar Creek, TX  78612",3
146,30.274126,-97.475191,Decker Middle School,"8104 Decker Creek Cove, Manor, TX  78653",4
147,30.216766,-97.899739,Gorzycki Middle School,"7412 West Slaughter Lane, Austin, TX  78749",9
148,30.172783,-97.688677,John P Ojeda J High School,"4900 McKinney Falls Parkway, Austin, TX  78744",2
149,30.302138,-97.499837,Decker Middle School,"8104 Decker Creek Cove, Manor, TX  78653",4
150,30.125542,-97.738536,Mendez Middle School,"5106 Village Square Drive, Austin, TX  78744",1
151,30.368758,-97.697767,Dobie Middle School,"1200 East Rundberg Lane, Austin, TX  78753",3
152,30.108621,-97.641103,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4
153,30.232882,-97.698788,Martin Middle School,"1601 Haskell Street, Austin, TX  78702",1
154,30.179149,-97.845897,Bailey Middle School,"4020 Lost Oasis Hollow, Austin, TX  78739",6
155,30.207539,-97.47977,Decker Middle School,"8104 Decker Creek Cove, Manor, TX  78653",4
156,30.494378,-97.760304,Pearson Ranch Middle,,
157,30.233941,-97.891758,Gorzycki Middle School,"7412 West Slaughter Lane, Austin, TX  78749",9
158,30.38282,-97.710188,Burnet Middle School,"8401 Hathaway Drive, Austin, TX  78757",2
159,30.177658,-97.809603,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4
160,30.182888,-97.857569,Bailey Middle School,"4020 Lost Oasis Hollow, Austin, TX  78739",6
161,30.313604,-97.931221,Hudson Bend Middle School,"3322 Ranch Road 620 South, Austin, TX  78738",9
162,30.440601,-97.706142,Westview Middle School,"1805 Scofield Lane, Austin, TX  78727",4
163,30.295452,-97.946057,Hudson Bend Middle School,"3322 Ranch Road 620 South, Austin, TX  78738",9
164,30.416599,-97.734563,Westview Middle School,"1805 Scofield Lane, Austin, TX  78727",4
165,30.514758,-97.88064,Running Brushy Middle School,"2303 Lakeline Boulevard, Cedar Park, TX  78613",6
166,30.231135,-97.783301,Richards School For Young Women Leade,"2206 Prather Lane, Austin, TX  78704",9
167,30.489016,-97.605895,Ridgeview Middle School,"2000 Via Sonoma Trail, Round Rock, TX  78665",9
168,30.222107,-97.787182,Richards School For Young Women Leade,"2206 Prather Lane, Austin, TX  78704",9
169,30.313644,-97.668377,Sadler Means Ywla,(512) 414-3234,2
170,30.384114,-97.670574,Dessau Middle School,"12900 Dessau Road, Austin, TX  78754",3
171,30.309408,-97.514248,Manor New Technology Middle,mntms.manorisd.net/,
172,30.160392,-97.854178,Bailey Middle School,"4020 Lost Oasis Hollow, Austin, TX  78739",6
173,30.155723,-97.871613,Bailey Middle School,"4020 Lost Oasis Hollow, Austin, TX  78739",6
174,30.26912,-97.690814,Alternative Learning Center,(512) 414-2554,5
175,30.125975,-97.829378,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4
176,30.165083,-97.494578,Cedar Creek Middle School,"125 Voss Parkway, Cedar Creek, TX  78612",5
177,30.22743,-97.671227,John P Ojeda J High School,"4900 McKinney Falls Parkway, Austin, TX  78744",2
178,30.422856,-97.937729,Lago Vista Middle School,"8039 Bar K Ranch Rd, Lago Vista, TX 78645",5
179,30.283358,-97.470402,Decker Middle School,"8104 Decker Creek Cove, Manor, TX  78653",4
180,30.222471,-97.861467,Small Middle School,"4801 Monterey Oaks Boulevard, Austin, TX  78749",5
181,29.994435,-97.817311,Armando Chapa Middle School,"3311 Dacy Lane, Kyle, TX  78640",3
182,30.167657,-97.841474,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4
